player,rank,points,url_perfil
C. Alcaraz,1,13150,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview
J. Sinner,2,10300,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview
N. Djokovic,3,5280,https://www.atptour.com/en/players/novak-djokovic/d643/overview
A. Zverev,4,4605,https://www.atptour.com/en/players/alexander-zverev/z355/overview
L. Musetti,5,4405,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview
A. de Minaur,6,4250,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview
F. Auger-Aliassime,7,4230,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview
T. Fritz,8,4220,https://www.atptour.com/en/players/taylor-fritz/fb98/overview
B. Shelton,9,4050,https://www.atptour.com/en/players/ben-shelton/s0s1/overview
A. Bublik,10,3405,https://www.atptour.com/en/players/alexander-bublik/bk92/overview
D. Medvedev,11,3010,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview
J. Draper,12,2790,https://www.atptour.com/en/players/jack-draper/d0co/overview
C. Ruud,13,2625,https://www.atptour.com/en/players/casper-ruud/rh16/overview
A. Rublev,14,2510,https://www.atptour.com/en/players/andrey-rublev/re44/overview
A. Davidovich Fokina,15,2470,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview
J. Mensik,16,2425,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview
K. Khachanov,17,2360,https://www.atptour.com/en/players/karen-khachanov/ke29/overview
H. Rune,18,2340,https://www.atptour.com/en/players/holger-rune/r0dg/overview
F. Cerundolo,19,2220,https://www.atptour.com/en/players/francisco-cerundolo/c0au/overview
F. Cobolli,20,1955,https://www.atptour.com/en/players/flavio-cobolli/c0e9/overview
L. Darderi,21,1904,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview
J. Lehecka,22,1860,https://www.atptour.com/en/players/jiri-lehecka/l0bv/overview
L. Tien,23,1710,https://www.atptour.com/en/players/learner-tien/t0ha/overview
T. Paul,24,1700,https://www.atptour.com/en/players/tommy-paul/pl56/overview
T. Griekspoor,25,1655,https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview
V. Vacherot,26,1605,https://www.atptour.com/en/players/valentin-vacherot/va25/overview
C. Norrie,27,1603,https://www.atptour.com/en/players/cameron-norrie/n771/overview
F. Tiafoe,28,1550,https://www.atptour.com/en/players/frances-tiafoe/td51/overview
B. Nakashima,29,1535,https://www.atptour.com/en/players/brandon-nakashima/n0ae/overview
A. Rinderknech,30,1530,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview
T. Machac,31,1510,https://www.atptour.com/en/players/tomas-machac/m0fh/overview
S. Baez,32,1495,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview
S. Tsitsipas,33,1485,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview
C. Moutet,34,1383,https://www.atptour.com/en/players/corentin-moutet/mw02/overview
D. Shapovalov,35,1350,https://www.atptour.com/en/players/denis-shapovalov/su55/overview
U. Humbert,36,1285,https://www.atptour.com/en/players/ugo-humbert/hh26/overview
J. Munar,37,1275,https://www.atptour.com/en/players/jaume-munar/mu94/overview
J. Fonseca,38,1190,https://www.atptour.com/en/players/joao-fonseca/f0fv/overview
G. Diallo,39,1175,https://www.atptour.com/en/players/gabriel-diallo/d0f6/overview
A. Fils,40,1110,https://www.atptour.com/en/players/arthur-fils/f0f1/overview
A. Michelsen,41,1110,https://www.atptour.com/en/players/alex-michelsen/m0qi/overview
G. Dimitrov,42,1105,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview
M. Cilic,43,1090,https://www.atptour.com/en/players/marin-cilic/c977/overview
Z. Bergs,44,1080,https://www.atptour.com/en/players/zizou-bergs/bu13/overview
N. Borges,45,1070,https://www.atptour.com/en/players/nuno-borges/bt72/overview
C. Ugo Carabelli,46,1068,https://www.atptour.com/en/players/camilo-ugo-carabelli/u182/overview
J. Brooksby,47,1042,https://www.atptour.com/en/players/jenson-brooksby/b0cd/overview
F. Marozsan,48,1040,https://www.atptour.com/en/players/fabian-marozsan/m0ci/overview
A. Mannarino,49,1025,https://www.atptour.com/en/players/adrian-mannarino/me82/overview
S. Korda,50,1020,https://www.atptour.com/en/players/sebastian-korda/k0ah/overview
T. Etcheverry,51,1020,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/overview
A. Muller,52,1020,https://www.atptour.com/en/players/alexandre-muller/mp20/overview
A. Popyrin,53,1000,https://www.atptour.com/en/players/alexei-popyrin/p09z/overview
D. Altmaier,54,961,https://www.atptour.com/en/players/daniel-altmaier/ae14/overview
B. van de Zandschulp,55,936,https://www.atptour.com/en/players/botic-van-de-zandschulp/v812/overview
K. Majchrzak,56,920,https://www.atptour.com/en/players/kamil-majchrzak/mq75/overview
M. Berrettini,57,910,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview
G. Mpetshi Perricard,58,905,https://www.atptour.com/en/players/giovanni-mpetshi-perricard/m0gz/overview
R. Collignon,59,902,https://www.atptour.com/en/players/raphael-collignon/c0jp/overview
V. Royer,60,897,https://www.atptour.com/en/players/valentin-royer/r0eb/overview
M. Fucsovics,61,891,https://www.atptour.com/en/players/marton-fucsovics/f724/overview
D. Dzumhur,62,877,https://www.atptour.com/en/players/damir-dzumhur/d923/overview
F. Comesana,63,869,https://www.atptour.com/en/players/francisco-comesana/c0df/overview
M. Giron,64,855,https://www.atptour.com/en/players/marcos-giron/gc88/overview
L. Sonego,65,850,https://www.atptour.com/en/players/lorenzo-sonego/su87/overview
T. Atmane,66,833,https://www.atptour.com/en/players/terence-atmane/a0gc/overview
E. Spizzirri,67,821,https://www.atptour.com/en/players/eliot-spizzirri/s0ja/overview
A. Tabilo,68,808,https://www.atptour.com/en/players/alejandro-tabilo/te30/overview
R. Opelka,69,786,https://www.atptour.com/en/players/reilly-opelka/o522/overview
E. Quinn,70,776,https://www.atptour.com/en/players/ethan-quinn/q02l/overview
H. Hurkacz,71,775,https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview
Q. Halys,72,762,https://www.atptour.com/en/players/quentin-halys/hb64/overview
A. Cazaux,73,755,https://www.atptour.com/en/players/arthur-cazaux/c0h0/overview
M. Navone,74,750,https://www.atptour.com/en/players/mariano-navone/n0bs/overview
A. Kovacevic,75,746,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview
E. Nava,76,710,https://www.atptour.com/en/players/emilio-nava/n0am/overview
J. Struff,77,706,https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview
J. Cerundolo,78,706,https://www.atptour.com/en/players/juan-manuel-cerundolo/c0c8/overview
A. Shevchenko,79,696,https://www.atptour.com/en/players/alexander-shevchenko/s0h2/overview
J. Duckworth,80,691,https://www.atptour.com/en/players/james-duckworth/d994/overview
F. Misolic,81,687,https://www.atptour.com/en/players/filip-misolic/m0jz/overview
R. Bautista Agut,82,685,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview
M. Kecmanovic,83,670,https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview
J. Fearnley,84,668,https://www.atptour.com/en/players/jacob-fearnley/f0by/overview
M. Arnaldi,85,665,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview
J. de Jong,86,665,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview
V. Kopriva,87,660,https://www.atptour.com/en/players/vit-kopriva/ki82/overview
A. Vukic,88,656,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview
C. Garin,89,656,https://www.atptour.com/en/players/cristian-garin/gd64/overview
Y. Hanfmann,90,653,https://www.atptour.com/en/players/yannick-hanfmann/h997/overview
I. Buse,91,648,https://www.atptour.com/en/players/ignacio-buse/b0id/overview
T. Tirante,92,647,https://www.atptour.com/en/players/thiago-agustin-tirante/t0a1/overview
A. Walton,93,643,https://www.atptour.com/en/players/adam-walton/w09e/overview
L. Nardi,94,629,https://www.atptour.com/en/players/luca-nardi/n0bg/overview
C. O'Connell,95,626,https://www.atptour.com/en/players/christopher-o'connell/o483/overview
H. Gaston,96,619,https://www.atptour.com/en/players/hugo-gaston/g09o/overview
H. Medjedovic,97,615,https://www.atptour.com/en/players/hamad-medjedovic/m0jf/overview
S. Wawrinka,98,612,https://www.atptour.com/en/players/stan-wawrinka/w367/overview
D. Svrcina,99,612,https://www.atptour.com/en/players/dalibor-svrcina/s0gd/overview
