player_slug,rank,age,points
Carlos Alcaraz,1,0,13150
Jannik Sinner,2,0,10300
Novak Djokovic,3,0,5280
Alexander Zverev,4,0,4605
Lorenzo Musetti,5,0,4405
Felix Auger Aliassime,6,0,3950
Taylor Fritz,7,0,3940
Alex de Minaur,8,0,3835
Ben Shelton,9,0,3560
Alexander Bublik,10,0,3235
Daniil Medvedev,11,0,3060
Jack Draper,12,0,2790
Casper Ruud,13,0,2625
Alejandro Davidovich Fokina,14,0,2535
Andrey Rublev,15,0,2510
Jakub Mensik,16,0,2425
Holger Rune,17,0,2340
Karen Khachanov,18,0,2320
Francisco Cerundolo,19,0,2135
Flavio Cobolli,20,0,1955
Jiri Lehecka,21,0,1860
Luciano Darderi,22,0,1789
Learner Tien,23,0,1710
Tommy Paul,24,0,1700
Valentin Vacherot,25,0,1611
Cameron Norrie,26,0,1603
Tallon Griekspoor,27,0,1585
Arthur Rinderknech,28,0,1542
Brandon Nakashima,29,0,1535
Frances Tiafoe,30,0,1510
Tomas Machac,31,0,1510
Stefanos Tsitsipas,32,0,1445
Joao Fonseca,33,0,1440
Sebastian Baez,34,0,1420
Corentin Moutet,35,0,1383
Ugo Humbert,36,0,1335
Jaume Munar,37,0,1185
Gabriel Diallo,38,0,1175
Zizou Bergs,39,0,1170
Denis Shapovalov,40,0,1160
Alex Michelsen,41,0,1160
Arthur Fils,42,0,1110
Grigor Dimitrov,43,0,1105
Nuno Borges,44,0,1070
Jenson Brooksby,45,0,1042
Fabian Marozsan,46,0,1040
Camilo Ugo Carabelli,47,0,1028
Alexandre Muller,48,0,1020
Marton Fucsovics,49,0,1009
Alexei Popyrin,50,0,1000
Daniel Altmaier,51,0,995
Adrian Mannarino,52,0,975
Sebastian Korda,53,0,960
Tomas Martin Etcheverry,54,0,945
Kamil Majchrzak,55,0,920
Giovanni Mpetshi Perricard,56,0,905
Valentin Royer,57,0,897
Matteo Berrettini,58,0,895
Marcos Giron,59,0,895
Lorenzo Sonego,60,0,890
Marin Cilic,61,0,890
Damir Dzumhur,62,0,877
Francisco Comesana,63,0,869
Terence Atmane,64,0,849
Botic Van De Zandschulp,65,0,849
Miomir Kecmanovic,66,0,820
Reilly Opelka,67,0,798
Eliot Spizzirri,68,0,781
Raphael Collignon,69,0,777
Hubert Hurkacz,70,0,775
Alejandro Tabilo,71,0,774
Matteo Arnaldi,72,0,765
Mariano Navone,73,0,760
Ethan Quinn,74,0,758
Arthur Cazaux,75,0,755
Filip Misolic,76,0,728
Quentin Halys,77,0,725
Aleksandar Kovacevic,78,0,721
Hamad Medjedovic,79,0,717
Juan Manuel Cerundolo,80,0,717
Emilio Nava,81,0,710
Jan Lennard Struff,82,0,706
James Duckworth,83,0,691
Alexander Shevchenko,84,0,690
Roberto Bautista Agut,85,0,685
Jesper De Jong,86,0,673
Jacob Fearnley,87,0,668
Aleksandar Vukic,88,0,656
Cristian Garin,89,0,656
Yannick Hanfmann,90,0,653
Laslo Djere,91,0,651
Thiago Agustin Tirante,92,0,647
Adam Walton,93,0,643
Pedro Martinez,94,0,636
Vit Kopriva,95,0,632
Ignacio Buse,96,0,623
Luca Nardi,97,0,621
Dalibor Svrcina,98,0,618
Hugo Gaston,99,0,616
Carlos Taberner,100,0,608
Adolfo Daniel Vallejo,101,0,580
Tristan Schoolkate,102,0,570
Alexander Blockx,103,0,570
Roman Andres Burruchaga,104,0,568
Pablo Carreno Busta,105,0,566
Stan Wawrinka,106,0,562
Mattia Bellucci,107,0,553
Francesco Maestrelli,108,0,553
Patrick Kypson,109,0,552
Zachary Svajda,110,0,551
Jordan Thompson,111,0,548
Mackenzie Mcdonald,112,0,547
Rinky Hijikata,113,0,546
Tomas Barrios Vera,114,0,546
Shintaro Mochizuki,115,0,537
Chun Hsin Tseng,116,0,536
David Goffin,117,0,515
Otto Virtanen,118,0,513
Christopher O'Connell,119,0,511
Titouan Droguet,120,0,510
Elmer Moller,121,0,509
Dino Prizmic,122,0,507
Dusan Lajovic,123,0,503
Rafael Jodar,124,0,498
Jan Choinski,125,0,498
Luca Van Assche,126,0,493
Vilius Gaubas,127,0,490
Kyrian Jacquet,128,0,489
Borna Coric,129,0,488
Martin Damm,130,0,486
Benjamin Bonzi,131,0,484
Nicolai Budkov Kjaer,132,0,476
Billy Harris,133,0,474
Marco Trungelliti,134,0,472
Sebastian Ofner,135,0,471
Coleman Wong,136,0,466
Nikoloz Basilashvili,137,0,464
