tourney_id,tourney_name,surface,winner_name,loser_name,score,round,minutes,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_hand,loser_ht,loser_ioc,loser_age,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-perth-sydney-0,perth-sydney,Hard,Belinda Bencic,Iga Swiatek,3-6 6-0 6-3,Final ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Hubert Hurkacz,Stan Wawrinka,6-3 3-6 6-3,Final ,100,0,0,0,,0,0,0,R,196.0,POL,32.7,0,0,0,R,183.0,SUI,44.6,,53.0,930.0,125.0,518.0
2026-perth-sydney-0,perth-sydney,Hard,Coco Gauff,Iga Swiatek,6-4 6-2,Semifinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Hubert Hurkacz,Taylor Fritz,7-6 7-1,Semifinals ,100,0,0,0,,0,0,0,R,196.0,POL,32.7,0,0,0,R,196.0,USA,32.0,,53.0,930.0,7.0,3770.0
2026-perth-sydney-0,perth-sydney,Hard,Belinda Bencic,Elise Mertens,6-3 4-6 7-6,Semifinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Zizou Bergs,Stan Wawrinka,6-3 6-7 4-3,Semifinals ,100,0,0,0,,0,0,0,R,185.0,BEL,30.4,0,0,0,R,183.0,SUI,44.6,,39.0,1140.0,125.0,518.0
2026-perth-sydney-0,perth-sydney,Hard,Alex de Minaur,Hubert Hurkacz,6-4 4-6 6-4,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,196.0,POL,32.7,,150.0,0.0,53.0,930.0
2026-perth-sydney-0,perth-sydney,Hard,Iga Swiatek,Maya Joint,6-1 6-1,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Zizou Bergs,Jakub Mensik,6-2 7-6,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,BEL,30.4,0,0,0,R,193.0,CZE,24.2,,39.0,1140.0,28.0,1600.0
2026-perth-sydney-0,perth-sydney,Hard,Elise Mertens,Barbora Krejcikova,5-7 6-1 7-5,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Coco Gauff,Maria Sakkari,6-3 6-2,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Stefanos Tsitsipas,Taylor Fritz,6-4 7-5,Quarterfinals ,100,0,0,0,,0,0,0,R,193.0,GRE,31.2,0,0,0,R,196.0,USA,32.0,,75.0,765.0,7.0,3770.0
2026-perth-sydney-0,perth-sydney,Hard,Sebastian Baez,Stan Wawrinka,7-5 6-4,Quarterfinals ,100,0,0,0,,0,0,0,R,170.0,ARG,28.8,0,0,0,R,183.0,SUI,44.6,,65.0,840.0,125.0,518.0
2026-perth-sydney-0,perth-sydney,Hard,Belinda Bencic,Solana Sierra,6-2 6-2,Quarterfinals ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
2026-perth-sydney-0,perth-sydney,Hard,Hubert Hurkacz,Tallon Griekspoor,6-3 7-6,Round Robin Day 6 ,100,0,0,0,,0,0,0,R,196.0,POL,32.7,0,0,0,R,188.0,NED,33.3,,53.0,930.0,31.0,1360.0
2026-perth-sydney-0,perth-sydney,Hard,Iga Swiatek,Suzan Lamens,6-3 6-2,Round Robin Day 6 ,100,0,0,0,,0,0,0,R,185.0,UNK,25.5,0,0,0,R,185.0,UNK,25.5,,150.0,0.0,150.0,0.0
