player,rank,points,url_perfil
C. Alcaraz,1,13550,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview
J. Sinner,2,10400,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview
N. Djokovic,3,5280,https://www.atptour.com/en/players/novak-djokovic/d643/overview
A. Zverev,4,4555,https://www.atptour.com/en/players/alexander-zverev/z355/overview
L. Musetti,5,4405,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview
A. de Minaur,6,4235,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview
T. Fritz,7,4220,https://www.atptour.com/en/players/taylor-fritz/fb98/overview
F. Auger-Aliassime,8,4080,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview
B. Shelton,9,4050,https://www.atptour.com/en/players/ben-shelton/s0s1/overview
A. Bublik,10,3405,https://www.atptour.com/en/players/alexander-bublik/bk92/overview
D. Medvedev,11,2960,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview
C. Ruud,12,2665,https://www.atptour.com/en/players/casper-ruud/rh16/overview
J. Mensik,13,2595,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview
A. Davidovich Fokina,14,2470,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview
J. Draper,15,2460,https://www.atptour.com/en/players/jack-draper/d0co/overview
K. Khachanov,16,2450,https://www.atptour.com/en/players/karen-khachanov/ke29/overview
H. Rune,17,2340,https://www.atptour.com/en/players/holger-rune/r0dg/overview
A. Rublev,18,2210,https://www.atptour.com/en/players/andrey-rublev/re44/overview
F. Cerundolo,19,2170,https://www.atptour.com/en/players/francisco-cerundolo/c0au/overview
F. Cobolli,20,2030,https://www.atptour.com/en/players/flavio-cobolli/c0e9/overview
L. Darderi,21,1904,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview
T. Paul,22,1815,https://www.atptour.com/en/players/tommy-paul/pl56/overview
L. Tien,23,1785,https://www.atptour.com/en/players/learner-tien/t0ha/overview
J. Lehecka,24,1760,https://www.atptour.com/en/players/jiri-lehecka/l0bv/overview
T. Griekspoor,25,1655,https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview
C. Norrie,26,1603,https://www.atptour.com/en/players/cameron-norrie/n771/overview
V. Vacherot,27,1591,https://www.atptour.com/en/players/valentin-vacherot/va25/overview
F. Tiafoe,28,1590,https://www.atptour.com/en/players/frances-tiafoe/td51/overview
B. Nakashima,29,1535,https://www.atptour.com/en/players/brandon-nakashima/n0ae/overview
S. Tsitsipas,30,1535,https://www.atptour.com/en/players/stefanos-tsitsipas/te51/overview
A. Rinderknech,31,1530,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview
T. Machac,32,1510,https://www.atptour.com/en/players/tomas-machac/m0fh/overview
T. Etcheverry,33,1470,https://www.atptour.com/en/players/tomas-martin-etcheverry/ea24/overview
A. Fils,34,1440,https://www.atptour.com/en/players/arthur-fils/f0f1/overview
C. Moutet,35,1383,https://www.atptour.com/en/players/corentin-moutet/mw02/overview
D. Shapovalov,36,1350,https://www.atptour.com/en/players/denis-shapovalov/su55/overview
U. Humbert,37,1285,https://www.atptour.com/en/players/ugo-humbert/hh26/overview
J. Fonseca,38,1240,https://www.atptour.com/en/players/joao-fonseca/f0fv/overview
J. Munar,39,1235,https://www.atptour.com/en/players/jaume-munar/mu94/overview
S. Korda,40,1220,https://www.atptour.com/en/players/sebastian-korda/k0ah/overview
G. Diallo,41,1175,https://www.atptour.com/en/players/gabriel-diallo/d0f6/overview
A. Tabilo,42,1113,https://www.atptour.com/en/players/alejandro-tabilo/te30/overview
A. Michelsen,43,1110,https://www.atptour.com/en/players/alex-michelsen/m0qi/overview
G. Dimitrov,44,1105,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview
M. Cilic,45,1090,https://www.atptour.com/en/players/marin-cilic/c977/overview
Z. Bergs,46,1080,https://www.atptour.com/en/players/zizou-bergs/bu13/overview
A. Popyrin,47,1050,https://www.atptour.com/en/players/alexei-popyrin/p09z/overview
N. Borges,48,1045,https://www.atptour.com/en/players/nuno-borges/bt72/overview
J. Brooksby,49,1042,https://www.atptour.com/en/players/jenson-brooksby/b0cd/overview
F. Marozsan,50,1040,https://www.atptour.com/en/players/fabian-marozsan/m0ci/overview
A. Mannarino,51,1025,https://www.atptour.com/en/players/adrian-mannarino/me82/overview
S. Baez,52,1005,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview
D. Altmaier,53,961,https://www.atptour.com/en/players/daniel-altmaier/ae14/overview
V. Royer,54,935,https://www.atptour.com/en/players/valentin-royer/r0eb/overview
M. Fucsovics,55,934,https://www.atptour.com/en/players/marton-fucsovics/f724/overview
K. Majchrzak,56,920,https://www.atptour.com/en/players/kamil-majchrzak/mq75/overview
M. Berrettini,57,910,https://www.atptour.com/en/players/matteo-berrettini/bk40/overview
G. Mpetshi Perricard,58,905,https://www.atptour.com/en/players/giovanni-mpetshi-perricard/m0gz/overview
C. Ugo Carabelli,59,880,https://www.atptour.com/en/players/camilo-ugo-carabelli/u182/overview
D. Dzumhur,60,877,https://www.atptour.com/en/players/damir-dzumhur/d923/overview
B. van de Zandschulp,61,874,https://www.atptour.com/en/players/botic-van-de-zandschulp/v812/overview
M. Giron,62,870,https://www.atptour.com/en/players/marcos-giron/gc88/overview
T. Atmane,63,858,https://www.atptour.com/en/players/terence-atmane/a0gc/overview
L. Sonego,64,850,https://www.atptour.com/en/players/lorenzo-sonego/su87/overview
V. Kopriva,65,848,https://www.atptour.com/en/players/vit-kopriva/ki82/overview
I. Buse,66,848,https://www.atptour.com/en/players/ignacio-buse/b0id/overview
E. Spizzirri,67,821,https://www.atptour.com/en/players/eliot-spizzirri/s0ja/overview
Q. Halys,68,800,https://www.atptour.com/en/players/quentin-halys/hb64/overview
R. Opelka,69,786,https://www.atptour.com/en/players/reilly-opelka/o522/overview
J. Cerundolo,70,781,https://www.atptour.com/en/players/juan-manuel-cerundolo/c0c8/overview
R. Collignon,71,777,https://www.atptour.com/en/players/raphael-collignon/c0jp/overview
E. Quinn,72,776,https://www.atptour.com/en/players/ethan-quinn/q02l/overview
H. Hurkacz,73,775,https://www.atptour.com/en/players/hubert-hurkacz/hb71/overview
A. Cazaux,74,755,https://www.atptour.com/en/players/arthur-cazaux/c0h0/overview
A. Kovacevic,75,746,https://www.atptour.com/en/players/aleksandar-kovacevic/k0az/overview
T. Tirante,76,739,https://www.atptour.com/en/players/thiago-agustin-tirante/t0a1/overview
M. Navone,77,725,https://www.atptour.com/en/players/mariano-navone/n0bs/overview
A. Muller,78,715,https://www.atptour.com/en/players/alexandre-muller/mp20/overview
E. Nava,79,710,https://www.atptour.com/en/players/emilio-nava/n0am/overview
J. Struff,80,706,https://www.atptour.com/en/players/jan-lennard-struff/sl28/overview
Y. Hanfmann,81,695,https://www.atptour.com/en/players/yannick-hanfmann/h997/overview
F. Comesana,82,694,https://www.atptour.com/en/players/francisco-comesana/c0df/overview
J. Duckworth,83,691,https://www.atptour.com/en/players/james-duckworth/d994/overview
M. Kecmanovic,84,685,https://www.atptour.com/en/players/miomir-kecmanovic/ki95/overview
R. Bautista Agut,85,685,https://www.atptour.com/en/players/roberto-bautista-agut/bd06/overview
F. Misolic,86,671,https://www.atptour.com/en/players/filip-misolic/m0jz/overview
A. Walton,87,669,https://www.atptour.com/en/players/adam-walton/w09e/overview
M. Arnaldi,88,665,https://www.atptour.com/en/players/matteo-arnaldi/a0fc/overview
J. de Jong,89,665,https://www.atptour.com/en/players/jesper-de-jong/d0c1/overview
J. Fearnley,90,662,https://www.atptour.com/en/players/jacob-fearnley/f0by/overview
A. Vukic,91,656,https://www.atptour.com/en/players/aleksandar-vukic/v832/overview
A. Shevchenko,92,656,https://www.atptour.com/en/players/alexander-shevchenko/s0h2/overview
C. Garin,93,656,https://www.atptour.com/en/players/cristian-garin/gd64/overview
A. Blockx,94,626,https://www.atptour.com/en/players/alexander-blockx/b0pg/overview
H. Gaston,95,619,https://www.atptour.com/en/players/hugo-gaston/g09o/overview
R. Burruchaga,96,617,https://www.atptour.com/en/players/roman-andres-burruchaga/b0fv/overview
C. Taberner,97,608,https://www.atptour.com/en/players/carlos-taberner/te16/overview
Z. Svajda,98,601,https://www.atptour.com/en/players/zachary-svajda/s0k7/overview
S. Wawrinka,99,599,https://www.atptour.com/en/players/stan-wawrinka/w367/overview
L. Van Assche,100,596,https://www.atptour.com/en/players/luca-van-assche/v0dz/overview
P. Martinez,101,586,https://www.atptour.com/en/players/pedro-martinez/mo44/overview
